company,description,experience,location,salary,technologies,title
Mate academy,"<div class=""b-typo vacancy-section"">
				<p>Ми — Mate academy, EdTech стартап з технологічною, гейміфікованою, AI friendly LMS платформою, де люди вивчають спеціальності в галузі IT. <a href=""https://mate.academy/"" target=""_blank"">Зареєструйся, спробуй</a>!</p><p>🌎 Наша місія — допомогти мільйону людей по всьому світу побудувати свою кар’єру в галузі IT.</p><p>🤘 Вже більше 4000 випускників знайшли свої перші робочі місця в IT всього за 4 місяці навчання.</p><p>Починаючи з 2022 року ми розпочали свою діяльність в Польщі і продовжуємо нашу міжнародну експансію.</p><p>Ми шукаємо крутого <strong>Python Mentor-a</strong> для роботи у <strong>part-time форматі погодинно</strong>. Основна задача ролі — допомагати студентам ефективно засвоювати матеріал у процесі навчання, щоб кожен зміг працевлаштуватись після проходження нашого Python курсу.<br><br><strong>Що ми очікуємо від тебе:</strong></p><ul><li>1 рік комерційного досвіду як Python Developer;</li><li>Вміння комунікувати з людьми та допомагати їм вирішувати проблеми;</li><li>Вміння якісно планувати свій час та самостійно систематизувати власний графік.</li></ul><p><strong>Твої задачі будуть наступними:</strong></p><ul><li>Перевірка домашніх завдань студентів Python курсу;</li><li>Відповіді на питання студентів в чаті та на zoom дзвінках;</li><li>Проведення пробних технічних інтерв’ю для студентів;</li><li>Пропонування власних ідей для вдосконалення нашого навчального процесу.</li></ul><p><strong>Що ти отримаєш, працюючи в Mate:</strong></p><ul><li>Місію допомогти мільйонам людей розпочати кар’єру в технологічній сфері<i>;</i></li><li>Мінімум бюрократії<i>;</i></li><li>Неймовірну команду, яка пишається своєю справою, і це робить роботу захоплюючою пригодою<i>;</i></li><li>Практику твоїх soft-skills — менторство чудовий спосіб швидше дорости до Senior позицій<i>;</i></li><li>Погодинну оплату і гнучкий графік — твій тиждень менторства буде включати 10+ годин роботи, які ти сам (-а) можеш розподілити протягом тижня.</li></ul><p><strong>Етапи відбору:</strong></p><ul><li>Надішли своє CV;</li><li>Виконай тестове завдання;</li><li>Пройди співбесіду, яка буде містити в собі HR та технічну частину.<br><br><br><strong>Ця пропозиція відповідає твоїм кар’єрним цілям? Тоді давай знайомитись!</strong></li></ul>
			</div>",1-3 years, віддалено,,python,Python Developer/Part-time Mentor
SoftConstruct Ukraine,"<div class=""b-typo vacancy-section"">
				<p><strong>SoftConstruct Ukraine </strong>is a large product company with Armenian roots.<br><br>We develop solutions in the fields of Big Data, Data Science and CryptoExchange. We combine our expertise in iGaming software development with advanced technologies to develop original software such as sports statistics, risk analysis, security. In most cases, we deal with atypical projects for the market, try to find and generate new technology-based solutions in our field.<br><br>We support our colleagues who actively participate in all spheres of our country’s defense, as well as help in the development of solutions, technical security support — the information sector of the state. <br><br>If you are looking for a job in a <strong>Python</strong><strong> </strong>development and have relevant experience, we would be more than happy to offer you our position of <strong>Middle Python Software Engineer</strong>.<br><br><strong>About the project:</strong> <br>We are the challenging computer vision project: the risk management solution which automatically validates the information about the user. <br>The product, based on advanced techniques of computer vision and data science. Application of neural networks makes it easy to determine the use of a photo editor, automatically process user data and compare it with the input data.<br>Our solution with automatic verification of users in various types of business, based on Computer Vision and digital solutions in the field of document sharing (DIIA, BankID, etc.) and open registers. We currently process over 40,000 verifications every month. <br>We see the potential for the company’s business account to grow to a 1 million verifications per month.<br><br><strong>About your future team:</strong> <br>We already have 15 people in our team, and we want to empower the team by hiring a specialist who will be involved in existing project.<br><br><strong>Technical Stack:</strong> <br>Python, Django, Django Rest Framework, Celery, PostgreSQL, Redis, Docker, SQL.<br>Be familiar with OOP, SOLID, KISS, DRY, YAGNI.<br><br><strong>Main responsibilities:</strong> <br>— Use your knowledge of technology and operational best practices to drive the design, development, and implementation of web application that enables highly available, scalable and reliable customer experiences;<br>— Propose and advocate technical improvements of the product on the architectural and code level;<br>— Work closely with ML, frontend, DevOps and design teams;<br>— Define, design and implement different API/data integrations based on business needs and requirements;<br>— Taking responsibility for a part of a project and ensuring its smooth operation.</p><p><strong>Must-haves:</strong> <br><strong>— </strong>3+ years of professional experience as a Python Engineer.<br>— Expertise in utilizing Message Brokers;<br>— Strong expertise in unit testing and applying code testing methodologies;<br>— Strong familiarity with Docker and Docker Compose;<br>— A passion for understanding the inner workings of systems and a willingness to share knowledge with peers;<br>— Direct involvement in the development and testing of backend systems and pipelines, as well as collaborative support for services;<br>— A hands-on approach to building secure, reliable, and scalable web applications, with effective communication skills within a team.<br><br><strong>Nice to haves:</strong> <br>— ML or Data Engineering experience;<br>— Experience with the design and implementation of MLOps;<br>— Experience with contemporary monitoring tools such as Prometheus, Grafana, and Sentry;<br>— Competence in working with NoSQL databases.<br><br><strong>What can we offer you:</strong></p><ul><li>Interesting and challenging work in a product and data driven company;</li><li>Plenty of opportunities to learn, grow and progress in your career;</li><li>Annual leave: 20 working days per year;</li><li>All paid sick days with a doctor’s note (no limit on the number of times. But for 1 time it is paid up to 2 weeks);</li><li>Registration within DiiaCity (Gig-contract);</li><li>Individual English classes at EnglishDom online school (compensation within 50% of the amount of expenses);</li><li>€450 / year budget for training and / or sports (compensation within 50% of the amount of expenses) after probationary period;</li><li>Free health insurance after a probationary period.</li></ul><p>Sounds interesting? Then apply now, don’t wait up!<br>SoftConstruct is a cool place to work, where you’ll have fun, make friends, and grow professionally!</p>
			</div>",3-5 years," Київ, віддалено",,"python,django,docker,git,postgresql,redis,celery,scala,prometheus,grafana,sentry",Middle Python Software Engineer (KYC)
MindfulMatch,"<div class=""b-typo vacancy-section"">
				<p>We are seeking a talented Full Stack Developer to work with our dynamic team, focusing on advancing computer vision phenotyping solutions. The ideal candidate will possess expertise in both front-end and back-end development (ideally Python), with a strong understanding of machine learning frameworks and computer vision algorithms (need understanding of cloud platforms such as GCP, AWS or Azure). Term of reference include designing, developing, and maintaining scalable mobile and web applications, implementing robust APIs (restful), and collaborating closely with data scientists to integrate cutting-edge phenotyping models.</p><p> </p><p><strong>Hard Skills needed </strong></p><p> — Extensive experience and proficiency in modern programming languages (such as Python, JavaScript, and SQL) and expertise in front-end development technologies (HTML, CSS, JavaScript, and frameworks like React or Angular).</p><p>— Experience with cloud services (Google, AWS, Azure) are essential as well as experience in developing web and mobile applications</p><p>— At least three years of proven experience as a Full Stack Developer or in a similar role.</p><p>— Experience with building and maintaining scalable mobile and web applications.</p><p>— Knowledge of API development and integration (RESTful services).</p><p>— Experience in designing and developing intuitive and visually appealing user interfaces.</p><p>— Proficiency in creating scalable and efficient backend systems for data collection, storage, and processing.</p><p>— Experience with data validation mechanisms and ensuring data accuracy, integrity, and consistency.</p><p>— Familiarity with performance optimization in resource-constrained environments.</p><p>— Proven track record of conducting rigorous testing and quality assurance (unit testing, integration testing);</p><p>— Experience in developing simple Android apps is a big plus. </p><p> </p><p><strong>Soft Skills needed:</strong></p><p>— Excellent attention to detail and organizational skills</p><p>— Fluent in English, both written and spoken.</p><p>— Team player with a strong commitment and a fervent passion for technology.<br><br><br><strong>We want to hear from you if you’re interested in working with our dynamic team and ready to start a new challenge!</strong></p>
			</div>",5+ years, віддалено,$7000,"python,aws,azure,gcp,scala,machine learning,react",Senior Full Stack Developer Python+JavaScript
COXIT,"<div class=""b-typo vacancy-section"">
				<p>🟠 Details:</p><p>We are looking for an experienced Python/Django developer to join our team, working on dynamic, high-impact projects that require strong technical expertise and the ability to work collaboratively.</p><p>🟠 About the project :<br><br>You will be working on an enterprise fintech startup based in the UK that has been in development for several years and serves active clients. Your role will involve developing new integrations and maintaining existing ones to ensure seamless functionality and client satisfaction.</p><p>🟠 Qualifications :</p><ul><li>At least 4 years of experience with Python (Django);</li><li>Experience with <strong>Next.js</strong> and <strong>TypeScript</strong>;</li><li>Experience with <strong>Docker</strong>;</li><li>Strong knowledge of <strong>Redis</strong>, <strong>Celery</strong>, <strong>Postgres</strong>;</li><li>Experience with DevOps, particularly with <strong>AWS</strong>;</li><li>Experience with <strong>RESTful API</strong> development and API integration.</li></ul><p>🟠 Responsibilities:</p><ul><li>Develop and maintain backend services using Python/Django;</li><li>Collaborate with front-end developers and other team members to build scalable web applications;</li><li>Ensure optimal performance, quality, and responsiveness of applications;</li><li>Implement and integrate third-party APIs as needed;</li><li>Optimize application for maximum speed and scalability;</li><li>Participate in DevOps tasks and deployments using AWS;</li><li>Work with databases such as Postgres and manage asynchronous tasks with Celery;</li><li>Debug and troubleshoot technical issues.</li></ul><p>🟠 Interview steps:</p><ul><li>Screening with the recruiter;</li><li>Technical interview with the client.</li></ul><p>🟠 By joining us, you will get:</p><ul><li>Accounting coverage and lawyer support;</li><li>Paid Vacations;</li><li>Paid 4 paid public holidays (New Year, Independence Day, Day of the Defender of Ukraine, and Christmas);</li><li>Flexible working hours and the possibility to work remotely;</li><li>Best-class working equipment (laptop and accessories);</li><li>Good conditions for skills development:</li><li>Possibility to upgrade your English for business needs due to working time and coverage of 50% for studying English</li><li>Offer of Internal WorkShops</li><li>Wellbeing Sessions as One-to-One meetings.</li></ul><p>🟠 Our office in Lviv:</p><ul><li>Located in Lviv (Kulparkivska 200a);</li><li>An inspiring, modern workplace with a great atmosphere and development culture;</li><li>“Happy Hours” parties;</li><li>Yoga and sports training at our office;</li><li>Chillout area: gaming zone with the PlayStations, table tennis &amp; table soccer;</li><li>Beer, coffee, tea, cookies, etc;</li><li>Conference rooms.</li></ul><p>🟠 Some of our Values:</p><ul><li>No overtime and pressure;</li><li>Regular rest, burnout control;</li><li>Clean relationships within the company and with the client;</li><li>Responsibility for the own development, ideas, and interests communication, as well for the problems that stand in the way of this development;</li><li>Openness to the new, readiness for changes;</li></ul>
			</div>",3-5 years," за кордоном, віддалено",$40004500,"python,django,docker,redis,celery,aws,scala",Python (Django) Developer
PIN-UP Global,"<div class=""b-typo vacancy-section"">
				<p><a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> is one of the directions of the international ecosystem PIN-UP Global, which operates in six countries — Ukraine, Poland, Kazakhstan, Cyprus, Peru, and Armenia. <a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> is the foundation of today’s international ecosystem of PIN-UP Global, the main products of <a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> are platforms for Ukraine and Kazakhstan. PIN-UP Global is an ecosystem of independent companies involved in the life cycle of various entertainment products. Ecosystem companies introduce innovative technologies, non-standard solutions for the development and scaling of products and services.</p><p><strong>We are looking for a General QA Engineer to join our team.<br></strong></p><p><strong>Requirements:<br></strong>• At least 2 years of experience as a general tester (backend, frontend, API);<br>• Deep knowledge in Quality Assurance, with a strong focus on web applications testing, including manual testing skills for comprehensive coverage of both front-end and back-end systems.<br>• Familiarity with Python, with a basic understanding of Object-Oriented Programming (OOP) principles, ensuring the development of scalable and maintainable test code.<br>• Demonstrated expertise in API testing, including REST, gRPC, and WebSocket protocols, using various manual testing tools to ensure seamless integration and service functionality.<br>• Understanding of the WebDriver concept for browser automation.<br>Knowledge of performance testing tools such as Locust, JMeter, or K6.<br>• Understanding of Continuous Integration/Continuous Deployment (CI/CD) pipelines.<br>• A Bachelor’s degree in Computer Science, Software Engineering, or a related field, or equivalent professional experience, to provide a strong technical foundation.<br>• Strong problem-solving skills and effective communication abilities to collaborate with team members and stakeholders.</p><p><strong>Responsibilities:<br></strong>• Manual Testing<br>• Bug Reporting<br>• Automated Testing<br>• Test Execution and Analysis<br>• Stakeholder Engagement and Communication<br>• Updating documentation based on received requirements</p><p><strong>Our benefits to you:<br></strong>🍀An exciting and challenging job in a fast-growing product ecosystem, the opportunity to be part of a multicultural team of top professionals in Development, Engineering and Architecture, Management, Operations, Marketing, etc;<br>🤝Great working atmosphere with passionate IT experts and leaders, sharing a friendly culture and a success-driven mindset is guaranteed;<br>📍Beautiful offices in Kyiv, Warsaw, Limassol, Almaty, Yerevan — work with comfort and enjoy the opportunity to build a network of connections with IT professionals day by day;<br>🧑‍💻Laptop &amp; all necessary equipment for work according to the ecosystem standards;<br>🏖Paid vacations, personal events days, days off;<br>🫖Paid sick leave;<br>👨‍⚕Medical insurance;<br>💵Referral program — enjoy cooperation with your colleagues and get the bonus;<br>📚Educational support by our L&amp;D team: internal and external trainings and conferences, courses on Udemy;<br>🗣Free internal English courses;<br>🤸‍♀Sport benefit;<br>🦄Multiple internal activities: online platform with newsletters, quests, gamification and presents for collecting bonuses, PIN-UP talks club for movie and books lovers, board games cozy evenings, special office days dedicated to holidays, etc;<br>🎳Company events, team buildings.<strong><br></strong><strong></strong></p>
			</div>",1-3 years," Варшава (Польща), Лімасол (Кіпр)",,"python,ci/cd,scala",General QA Engineer (Python) — Warsaw/Cyprus
Beetroot Academy,"<div class=""b-typo vacancy-section"">
				<p>Приєднуйся до глобальної спільноти експертів та зроби свій внесок у виховання наступного покоління ІТ-спеціалістів в Україні та світі. Через якісну освіту ти допоможеш людям побудувати кар’єру в ІТ та змінити їхнє життя. Ти викладатимеш онлайн, у групах зазвичай до 15 студентів, у вечірні години (та у вихідні за попередньої згоди), поєднуючи це з основною роботою та/або сім’єю. Наша команда методистів супроводжуватиме тебе протягом усього процесу навчання та підтримуватиме на кожному етапі — все, щоб допомогти тобі досягти найкращих результатів як викладач чи викладачка у Beetroot Academy.</p>

<p><b>Кого ми шукаємо?</b></p><p>Ми шукаємо людину, яка прагне ділитися набутими знаннями та професійним досвідом з нашими студентами. </p><p>Основні вимоги до кандидата/-ки:</p><ul><li>ти Middle або Senior Python Developer;</li><li>у тебе сильні комунікативні навички;</li><li>ти володієш письмовою та розмовною англійською мовою.</li></ul>

<p>Tech stacks:</p><ul><li>Python basics: data structures, functions, conditional statements, loops, and I/O;</li><li>OOP;</li><li>Unit testing;</li><li>Computer science basics: data structures, sorting and searching algorithms, graphs and trees;</li><li>Familiarity with Web technologies, protocols, client-server communication, basics of web security;</li><li>SQL and relational databases;</li><li>Web frameworks and ORM basics (Django preferably).</li></ul>

<p>Буде бонусом:</p><ul><li>досвід менторства та викладання;</li><li>досвід публічних виступів.</li></ul>

<p><b>Чим ти будеш займатися?</b></p><ul><li>навчатимеш студентів на заняттях в Zoom <nobr>2-3</nobr> рази на тиждень;</li><li>перевірятимеш їхній прогрес та коригуватимеш навчальний процес відповідно до їхніх потреб;</li><li>будуватимеш атмосферу підтримки та прийняття у групі;</li><li>мотивуватимеш та надихатимеш студентів на подолання викликів, з якими вони стикаються під час навчання;</li><li>підтримуватимеш толерантність, рівність та інклюзивність у спілкуванні;</li><li>братимеш участь у наших заходах як спікер/-ка (за бажанням).</li></ul>

<p><b>Що ти отримаєш від Академії?</b></p><ul><li>зможеш пройти курс для викладачів, щоб підвищити рівень своїх навичок перед викладанням;</li><li>поглибиш та структуруєш свою базу знань, готуючись до занять;</li><li>розвинеш свої лідерські якості через викладання;</li><li>зможеш претендувати на вищу позицію на роботі, продемонструвавши досвід викладання;</li><li>отримаєш можливість знайти стажера або Junior-спеціаліста для своєї команди за потреби;</li><li>приєднаєшся до великої мережі ІТ-спеціалістів, які викладають в Beetroot Academy;</li><li>отримаєш доступ до безплатних уроків англійської мови після випуску першої групи та можливість приєднатися до будь-якого з наших курсів, а також отримати 50% знижку для членів сім’ї після випуску третьої групи;</li><li>отримаєш додатковий дохід до основного заробітку.</li></ul>

<p>Якщо тобі подобається перспектива бути викладачем чи викладачкою в Beetroot Academy, подавай заявку прямо зараз. Ми зв’яжемося з тобою та розповімо про наступні кроки відбору. </p>
			</div>",3-5 years," Київ, Харків, Львів, Одеса, Івано-Франківськ, віддалено",,"python,django",Викладач/-ка курсу «Python Розробка»
Datavise,"<div class=""b-typo vacancy-section"">
				<p><strong>Join the team of professional data scientists and web engineers! Datavise works with impact-first companies from all around the globe, using a data-driven approach and continuously increasing our operational effectiveness.</strong></p><p>We are looking for a skilled and experienced <strong>Python Developer</strong> who dares to exceed average.</p><h3>Responsibilities</h3><p><strong>Generative AI Innovation Project:</strong></p><ul><li>Work collaboratively on the conceptualization and implementation of our cutting-edge AI project</li><li>Bring your creativity to the table, contributing innovative ideas to enhance AI capabilities</li><li>Dive into coding, implementing new features to push the boundaries of AI’</li><li>Leader on the market as AI receprionist solution.</li></ul><p>Requirements</p><ul><li>B.Sc. degree in Computer Science, Engineering, or Mathematics (or equivalent experience)</li><li>5+ years of hands-on experience in backend development</li><li>Ability and wish to work on complex problems, and make solutions never creaeted before.</li><li><strong>Proficiency in Python programming languages</strong> </li><li>Strong Django skills</li><li>Experience with Celery, Redis</li><li>Experience with asyncio</li><li>Good knowledge of SQL and experience in query optimization.</li><li>Extensive experience working in cloud production environments</li><li>Development experience in Kubernetes environments (k8s, OpenShift, EKS)</li><li>Proficiency with both SQL and NoSQL databases</li><li>Strong grasp of server-client architecture</li><li>Proactive, driven, and detail-oriented individual</li><li>Familiarity with Agile development methodologies and ability to thrive in a fast-paced, iterative environment</li><li>Strong sense of ownership, taking initiative to solve problems and optimize systems</li><li>Excellent communication and presentation skills</li><li>A team player with a quick learning disposition and the ability to work independently</li></ul><h3>Will be a plus</h3><ul><li>Experience with generative AI development frameworks like langchain or llamaindex</li><li>Familiarity with vector databases (e.g., Milvus, Pinecone) and embeddings</li><li>Experience with LLMs interfaces and popular LLMs hubs, such as HuggingFace</li></ul><h3>What we offer</h3><ul><li>Competitive salary and benefits package</li><li>Medical insurance</li><li>Tax compensation</li><li>Full Remote</li><li>Collaborative and innovative work environment</li><li>Career growth and development opportunities</li><li>A chance to work with a talented and driven team of professional</li></ul>
			</div>",5+ years," Варшава (Польща), віддалено",$3000,"python,django,kubernetes,redis,celery,agile,asyncio",Senior Python Developer (Datavise)
Radency,"<div class=""b-typo vacancy-section"">
				<p>Radency у пошуках <strong>Senior</strong><strong> Python Engineer</strong> на німецьку AI-Based платформу для генерації документів та мануалів.</p><p><strong>Проєкт:</strong></p><p>👉 <strong>Техстек:</strong> Python, FastAPI/Django, Vector DB, Langchain, VertexAI, GCP</p><p>👉 <strong>Команда:</strong> СТО, ML Engineer</p><p><strong>Основні задачі:</strong></p><ul><li>Розробка та підтримка API, з використанням FastAPI та Python</li><li>Робота із векторними БД (такі як Pinecone)</li><li>Інтеграція та оптимізація АІ моделей (VertexAI), fine-tuning моделей </li><li>Підтримка інфраструктури (GCP): забезпечення масштабованості, продуктивності та безпеки</li><li>Генерація PDF файлів</li><li>Тісна співпраця із СТО, допомога в налагодженні системи, вирішенні технічних проблем та проведенні аудитів безпеки </li></ul><p><strong>Очікування від інженера:</strong></p><ul><li>5+ років досвіду розробки на Python</li><li>Досвід роботи із ML (supervised and reinforcement learning) та Векторними базами </li><li>Досвід роботи із клаудом</li><li>Досвід у розробці масштабованих API, мікросервісів та роботі з великими обсягами даних</li><li>Щонайменше Upper-Intermediate рівень англійської</li><li>Досвід роботи із VertexAI та Pinecone — <strong>would be a plus</strong><strong></strong></li></ul><p><strong></strong></p><p><strong>Що пропонує Radency:</strong></p><p>✔️ Бюджети на навчання, здоровʼя та спорт — 750 $ на рік.<br>✔️ 20 днів тайм оффу, 10 державних вихідних та необмежені сік ліви.<br>✔️ Формат роботи remote-first.<br>🇺🇦 Активно підтримуємо ЗСУ — станом на листопад 2024 ми задонатили 16+ мільйонів гривень і не плануємо зупинятися.<br>🇺🇦 Не працюємо з російськими і білоруськими замовниками та інженерами.</p>
			</div>",5+ years, віддалено,,"python,django,fastapi,gcp,fastapi",Senior Python Developer
Academy SMART,"<div class=""b-typo vacancy-section"">
				<p>We are seeking a talented Middle Backend Software Engineer to join our team. In this role, you will contribute significantly to developing highly scalable server-side applications and services. You will play a pivotal role in system architecture, API design, and the optimization of backend system performance.<br><br>About the project:<br>Big pharma companies spend hundreds millions USD for compliance check — to be sure that their drugs are marketed and advertised in a right way — without discriminating people, raising any problematic questions, abusing some moral standards. And that they comply with regulations and standards. In order to achieve this, companies prepare tons of documentation and have to analyze existing standards which frequently change. Revisto, with the help of AI and ML, want to automate big part of this compliance and marketing materials check.</p><p> </p><p>Responsibilities:</p><ul><li> Efficient Development: Design and create efficient, reusable, and scalable backend components and services.</li><li>API Development: Develop RESTful APIs and integrations to support client applications and services.</li><li>Performance Optimization: Enhance backend systems to ensure high availability, rapid response times, and robustness.</li><li>Feature Implementation: Implement new features and capabilities to extend the functionality of the backend system.</li><li>Bottleneck Resolution: Identify and address bottlenecks in the backend infrastructure to optimize system performance.</li><li>Maintenance: Maintain and provide support for existing backend applications and infrastructure.</li><li>Quality Assurance: Collaborate closely with quality assurance and testing teams to implement best practices in development.</li></ul><p>Knowledge of some of these technologies would be a plus:<br>• Flask<br>• FastAPI<br>• SQLAlchemy<br>• AsyncIO<br>• OAUTH2/OIDC<br>• Pandas/Numpy</p><p>Requirements:</p><ul><li>Experience: A minimum of 4+ years in a backend development role or a similar role.</li><li>Programming Skills: Proficiency in Python</li><li>Database Expertise: Experience working with Postgres.</li><li>API Development: Proficiency in developing and consuming RESTful APIs.</li><li>Security and Performance: Understanding of web application security and performance tuning.</li><li>Collaborative Nature: Ability to collaborate effectively with cross-functional product teams.</li><li> Communication Skills: Strong communication and analytical skills.</li></ul>

<p>We offer:</p><ul><li>20 working days of paid vacation per year;</li><li>Official holidays of Ukraine — days off;</li><li>Modern equipment for work;</li><li>Corporate events;</li><li>External and internal training: conferences, professional events, courses, TechTalks;</li><li>English speaking club.</li></ul><p>Hiring process:</p><ul><li>Review CV;</li><li>HR interview;</li><li>Professional interview with client.</li></ul>
			</div>",3-5 years, віддалено,$30003500,"python,flask,fastapi,scala,pandas,numpy,fastapi,asyncio,sqlalchemy,oauth",Python Developer
Digis,"<div class=""b-typo vacancy-section"">
				<p>Digis is seeking a skilled and motivated <strong>Senior Full-Stack (Python + TypeScript) </strong><b>Developer</b> to join our remote team.<br><br></p><p><b>About the project:<br></b>The product is close to SaaS in concept, a set of technologies and tools that allows businesses to enter marketplaces for used goods like Craigslist. Right now, these marketplaces are mostly private individuals. We emphasized that this is not a classic standalone product, but a set of tools like Chrome extension, different no-code solutions with automation, etc. There is a pilot version, which has been successfully released, and there is a big partner in the US.<br><br><b>What about requirements?</b></p><ul><li>5+ years of general experience;</li><li>At least 2 years with Python;</li><li>1 year with Javascript or Typescript;</li><li>Experience with low-code platforms (like <a href=""http://make.com"" target=""_blank"">make.com</a> or AirTable);</li><li>Willingness to work on Chrome extension;</li><li>В2+ English level;<br><br></li></ul><p><b>Project advantages:</b></p><ul><li>A stable and long-term project that has received the support of large investors from the US;</li><li>An interesting domain; </li><li>Opportunity to learn new technologies and implement/propose different solutions and technologies for implementation;</li><li>Potential to become something big in the future.</li></ul><p>If you’re interested in this opportunity, please let me know and I’ll provide more information. I look forward to hearing back from you!</p>
			</div>",3-5 years, віддалено,,python,Senior Full Stack (Python + TypeScript) Developer
BCD TripTech,"<div class=""b-typo vacancy-section"">
				<p><strong>We are looking for a person who is passionate about development and is excited to join the team of our Engineers<br></strong> <br><strong>What you will be doing:</strong> <br>Crafting an elegant, resilient, and useful distributed system for booking business travels.<br><br><strong>You certainly:</strong> <br>— Have 6+ years of strong experience working with Python and Django and a continuous desire to improve your skills.<br>— Have experience with asynchronous programming (asyncio, aiohttp)<br>— Are familiar with at least one RDBMS (Postgres) and with NoSQL solutions (MongoDB)<br>— Can write unit tests and autotests<br>— Have a high level of responsibility and independence<br>— Have a B2+ (upper Intermediate +) level of English and are ready to use it in everyday communication<br>— Have experience with elastic search <br>— You can be located anywhere in +/- 2 hours Kyiv timezone, but you have to be initially a citizen of Ukraine.<br>— Can legally travel abroad if needed — position may require business trips in the EU.<br><br><strong>You probably:</strong> <br>— Have contributed to an open-source project<br>— Have experience in mentoring newcomers and leading small project groups<br>— Have experience with Docker and K8s<br><br><strong>Who we are:</strong> <br>We are a tech team of adventurous travelers, who were once a part of YCombinator alumni — GetGoing Inc., founded in 2012 by Harvard, Stanford, and Berkeley graduates. We also raised ~$10M in venture capital from Silicon Valley.<br>In 2016 we joined BCD Travel (<a href=""http://www.bcdtravel.com"" target=""_blank"">www.bcdtravel.com</a>), a global corporate travel management company with annual sales of $25 billion, to bring our unique technology of hotel booking to BCD Travel’s products.<br><br><strong>What we do:</strong> <br>The product we develop is a B2B booking platform for business trips, which helps users book hotels, flights, and cars. It provides both business travelers and their travel agents with detailed itineraries and the best booking options. Every day thousands of business travellers across the world use our software built on modern technology.<br><br><strong>We use:</strong> <br>On FE: ES6 and React/Redux.<br>On BE: Python 3 as well as: Django, DRF, Celery, Gevent, aiohttp, Airflow, Postgresql, Redis, Memcache, RabbitMQ, ElasticSearch, Terraform, Ansible, Stackstorm, Splunk, Docker. Everything is running on AWS.<br><br><strong>What we offer:</strong> <br>— Results-oriented startup mindset with a stable business model backed by a billion-dollar global travel company.<br>— Money, of course. Medical insurance. English courses. Cookies.<br>— Conferences, workshops, certifications refund.<br>— A friendly, professional, and highly skilled team working with the newest technologies.<br>— A great office location in the very center of Kyiv near metro stations Zoloti Vorota/ Teatralna/ Khreschatyk (we have an extra “coffee” kitchen for coffee geeks, a game zone with a kicker and a bomb shelter in the building).<br>— Flexible working hours and the ability to choose between office, remote, or a mix of both.<br>— 24 working days of vacation + 6 covered sick days.<br>— A chance to help craft our tools, processes, and culture.<br>— A lab day once a month to dedicate to a project of your own or a study project.<br>— Opportunities for career growth.</p>
			</div>",5+ years," за кордоном, віддалено",,"python,django,docker,postgresql,mongodb,redis,celery,rabbitmq,aws,react,asyncio,elasticsearch",Senior Backend Engineer
